City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
324,Manokwari,ID,77.0,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
325,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
326,Muyinga,BI,60.73,light rain,-2.8333,30.3333,Hotel Icizanye
327,Arlit,NE,78.4,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
328,Cabra,ES,62.13,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
329,Benguela,AO,80.83,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
330,Cidreira,BR,79.65,clear sky,-30.1811,-50.2056,Hotel Castelo
332,Oran,DZ,58.93,few clouds,35.6911,-0.6417,The Adress Residence SM
334,Kabarnet,KE,65.48,scattered clouds,0.4919,35.743,Valley-Inn Hotel
335,Seoul,KR,29.77,overcast clouds,37.5683,126.9778,LOTTE Hotel Seoul
336,Aloleng,PH,77.94,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
337,Kulhudhuffushi,MV,81.79,overcast clouds,6.6221,73.07,Haajy Guest House 1
338,Neuquen,AR,82.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
339,Piedras Negras,MX,60.28,clear sky,28.7,-100.5167,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
340,Mangaratiba,BR,81.46,broken clouds,-22.9597,-44.0406,Portobello Resort & Safari
342,Mkushi,ZM,64.29,overcast clouds,-13.6202,29.3939,Mkushi Police Club
346,Vallenar,CL,84.56,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
348,Kavaratti,IN,80.83,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
349,Chingola,ZM,64.38,light rain,-12.529,27.8838,Protea Hotel by Marriott Chingola
350,Young,UY,68.23,overcast clouds,-32.6833,-57.6333,Posada Gira el Sol
351,Lasa,IT,37.31,clear sky,46.6166,10.7002,Pension Feldgärtenhof
353,Wakkanai,JP,25.63,light snow,45.4094,141.6739,Hyōsetsu-sō
354,Klaksvik,FO,40.12,overcast clouds,62.2266,-6.589,Airbnb rooms
355,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
356,Olafsvik,IS,28.18,broken clouds,64.8945,-23.7142,Hotel Olafsvik
358,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
359,Port Elizabeth,ZA,73.69,clear sky,-33.918,25.5701,39 On Nile Guest House
360,Torres,BR,80.8,clear sky,-29.3353,-49.7269,Farol Hotel
361,Floresta,BR,90.05,broken clouds,-8.6011,-38.5686,Hotel Floresta
362,Sur,OM,70.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
363,Yenagoa,NG,88.61,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
364,Byron Bay,AU,68.88,broken clouds,-28.65,153.6167,Backpackers Inn
367,Peque,CO,82.89,broken clouds,7.0212,-75.9093,Hotel Rodizzio
369,Nanortalik,GL,30.76,snow,60.1432,-45.2371,Hotel Kap Farvel
371,Puerto Carreno,CO,93.18,clear sky,6.189,-67.4859,Casa Hotel Victoria
372,Ivancsa,HU,40.28,clear sky,47.1567,18.8203,Pompos Pizzéria
